,0
book,price
10141179516,$ 4.95
30436824880,$ 10.00
22594340305,NULL
30137470433,$ 5.00
30575323379,$ 5.46
11800510178,NULL
30710660721,$ 5.00
22610147009,$ 8.99
30595939810,$ 6.00
30430211662,$ 6.03
20543218067,$ 7.50
30631467632,$ 13.56
30726243328,$ 3.61
30737525333,$ 4.00
119929444,$ 9.17
30665833368,$ 20.00
16930900445,$ 1.99
30708949552,$ 7.63
30748023673,$ 5.99
30745957188,$ 5.10
30660923527,$ 6.28
22575766170,$ 5.25
1058066057,$ 6.36
30306579912,$ 3.98
30738347373,$ 4.82
30643297497,$ 4.19
1031685420,$ 12.10
30738248497,$ 15.32
30367514525,$ 9.73
918921099,$ 8.47
30538818571,$ 1.00
30657037242,$ 7.48
30737245358,$ 4.00
30082148548,$ 6.30
30699604781,$ 3.98
30706933760,$ 8.54
65853181,$ 6.00
1978280450,$ 4.50
30708708616,$ 14.43
30733344749,$ 4.00
275352520,$ 6.39
30692362401,$ 3.65
1046762509,$ 3.50
19593306436,$ 3.75
30718682962,$ 2.59
30556399073,$ 6.00
30523186646,$ 4.69
30734217513,$ 3.98
30012305301,$ 4.19
30743257139,$ 17.00
30746033606,$ 15.09
30137491647,$ 18.00
30266523672,$ 44.97
30191207695,$ 6.49
720184571,$ 35.00
30683695026,$ 22.19
30266563989,$ 36.63
22523931843,$ 20.51
30137461622,$ 11.00
30698067646,$ 3.98
30514017249,$ 106.60
30424441940,$ 7.25
30332224873,$ 3.80
30617865091,$ 4.48
30692770710,$ 5.00
837170227,$ 75.00
30630537430,$ 9.69
30603312370,$ 1.03
6929475639,$ 25.00
30738824911,$ 5.24
30313259468,$ 20.00
30621579656,$ 22.36
18273784288,$ 38.26
30422007325,$ 5.50
1971730398,$ 1.00
30698782892,$ 8.31
30259412450,$ 4.95
30733069823,$ 4.49
18217724726,$ 1.00
10390215385,$ 99.99
21662450135,$ 14.95
22890297791,$ 4.19
30642614296,$ 5.99
30692377212,$ 6.48
22505124632,$ 4.48
30696156597,$ 51.42
22408988278,$ 4.00
30699868421,$ 3.51
30429723787,$ 7.27
22582318092,$ 7.50
27059037,$ 21.00
30719364395,$ 12.16
30175024279,$ 3.00
2795338710,$ 9.00
30699045077,$ 4.19
18369566244,$ 25.00
30220057175,$ 13.26
30032906202,$ 7.23
10253443391,$ 16.34
30543697288,NULL
30667085532,$ 3.61
22505003481,$ 4.48
30627143714,$ 28.03
30711961716,$ 20.00
30179502854,$ 7.00
30365542322,$ 4.47
30735331325,$ 6.05
381789268,$ 24.00
30505774641,$ 3.97
30644571045,$ 15.00
30299235127,$ 3.51
30405755303,$ 9.16
21419752,$ 15.00
16201619952,$ 12.00
30605055028,$ 2.99
30349208601,$ 4.75
5334849969,$ 7.95
586706972,$ 33.27
30617831644,$ 6.96
30641300922,$ 3.51
30521947856,$ 7.00
758139714,$ 4.00
30384218741,$ 4.00
898001281,$ 10.00
30621936480,$ 32.50
17475986893,$ 20.56
15525845142,$ 23.59
8644770135,$ 12.50
30656874668,$ 4.19
30697790977,$ 3.69
22877616178,$ 150.00
30733180192,$ 4.98
30238555834,$ 6.75
303692372,$ 4.00
30538101288,$ 1.00
