book,publisher
30598692738,Pocket
30643746337,
30137482110,Ballantine
30713312479,Landoll
242855190,"Pocket Books 1968 paperback, 15th printing"
30357111963,"M & M / Mycroft & Moran, Sauk City WI"
30734270760,Penguin Classics
30605454533,"Cleveland, The World Publishing Company"
1958318699,Ace
1157901907,Ace
30330554660,Bantam
30137479596,"leisure book,"
22420042428,Daw Books
30093652186,Ace
30704187229,"Nelson Doubleday, Inc January 1977"
12070838690,"Spring Books, London"
30699581663,Bantam Books(Classic & Loveswept)
30644930295,Barnes & Noble Classics
30575717889,"New Rochelle, NY: The Elizabeth Press"
30487942690,Back Bay Books
30660208730,Ballantine
30275929196,
30282667972,Doubleday
22844627902,Ballantine
30280716015,Pendulum Press
3401872846,"R. S. Peale, Chicago"
1271852724,"Berkley, New York"
30750290164,Random House~trade
22485404304,Belmont
30699607199,Bantam Books
10107176741,"Love Romances, NY"
20098125515,"Standard Magazines, NY"
30176097287,"Beagle Books, 1971"
30734675343,Ballantine
10634213567,"Frank A. Munsey, NY"
947110148,Ballantine
22414932201,Pyramid
30733582226,
30110390901,DAW
30042015887,
30731166952,Ace
30743799149,Berkley
30617590604,Flamingo Books
30114331307,"Collier-Macmillan Limited, London"
30715374093,Little Brown & Co
30643303028,SparkNotes
60883878,New York: Causeway Books [1974].
30631305067,Ace
30737557303,BiblioBazaar 20
30697854779,BARONET BOOKS
30604711648,Ballantine
30667320412,Ballantine
397777360,"Pinnacle, Canada"
30310723061,Ballantine
30608592108,Blue Ribbon Books
19084570205,Ziff-Davis
18457810512,Ace
1042246748,"Mercury Press, NY"
1008300612,Ballantine
544738311,"The Heritage Press, New York: (1942)."
417289862,"New American Library, New York, NY, U.S.A."
30666177659,Dover
316920310,"Airmont, New York"
30540334680,"Gramercy Publishing, NY 1949"
30137464447,hanro australian
30441745879,Berkley
30709883822,Barnes & Noble Classics
14883183389,"Arkham House, Sauk City, WI"
30731407417,Gramercy Publishing Co.
30162330579,"Love Romances, NY"
30605256010,"Colonial Williamsburg; distributed by Holt, Rinehart, and Winston, New York"
30551329046,Ace
30217004123,Nelson Doubleday
30291741798,JOSï¿½ J. DE OLAï¿½ETA EDITOR
17116511336,Erich Pabel Verlag
30725407017,
22848025857,Ballantine
30588909382,Eureka Productions
30747195415,Warner Books
14831130684,Ace
18310960596,New English Library 1962
22745556192,"Standard Magazines, NY"
30699658999,Leopold Classic Library
30563827866,Doubleday Science Fiction
22903762228,Dover
30687490095,Bower House
618303378,"The Candlelight Press, New York"
30162462378,POPLI
30630089657,DAW
30752042137,Dell
30386094182,Sterling Pub Co Inc
30731341707,Fawcett
30714634532,Ballantine
22020197117,Clark Publishing Company
30722054778,Dover
22727220399,
30179160581,LE MASQUE/SF.
30584466073,Berkley Books
30415063986,Belmont (Canadian)
30507064040,Health Knowledge
30443504726,Lancer Books
30456229492,Fawcett Premier
30628477366,Ballantine
30216667091,
30697579549,A & W Visual Library
7049342152,E.V.A. Publishers
30748028157,Studio
30737598825,Turtleback
30644182427,Dover
30716645061,Nelson Doubleday / SFBC
30632090035,Random House Publishing Group
19554743349,BiblioBazaar
30605374861,SparkNotes
18914649994,Ballantine
30697821225,HarperCollins
30739896116,Pocket Books
30137473213,Ballantine
544088755,"Candar Publishing Company, New York"
19058327481,"Little, Brown"
30034628224,"Little, Brown"
30661074755,Ballantine
30697385590,Dover
14782003164,Ace
30737382765,
30690847647,Gramercy
401064296,Ultimate Publishing
30576275144,
30266645941,
30406242111,Ballantine
1020963208,Ballantine
30270302005,
204909201,"London; Ward, Lock & Bowden"
30650027921,Dutton Adult
30696513007,
8689789262,
30305787945,Penguin Books
30014215773,National Geographic
30205422814,The New York Post Family Classics Library
30300354284,Random House Books for Young Readers
30359715131,Dover
30457662678,William Collins
30730221953,Del Rey
30688734352,Macmillan Pub Co
30583574832,Ace
30266552600,
30697395354,Brooks Cole
30172412570,Scholastic Paperbacks
30310726934,Ballantine
30137572140,popular publication
3982214550,Standard Magazines
65620710,"Pyramid, New York"
30223844943,"Berkley Books, New York"
30650031662,Ace
30210700862,"Charles Scribner's Sons, New York"
30595274354,Prestwick House Inc.
30334965305,
30644603954,Ace
30699584829,Mycroft & Moran
30729683991,Back Bay Books
81958212,"Wheaton, Ill Theosophical Publ House 1966."
22392792244,"Society of Antiquaries:, 1893."
30422098003,The Modern Library
3608642811,Ace
30267796990,
30598468844,Ace
22579404968,"Lancer Books, USA"
30137472012,tower
1309179668,"Arkham House; Publisher, Sauk City, WI"
30327092146,
30744579236,"Avon Books., USA"
807199071,
30577516135,Scholastic Paperbacks
30697669973,Tor Books
758566061,"Toronto: Popular Publications, Inc. 1st Edition"
30210601584,
30707192131,"Sampson Low, Marston, Searle & Rivington"
30743776479,Knopf Doubleday Publishing Group
7197157986,"Modern Library; Random House, New York"
30137465364,Belmont
30508753623,"S.W. Tilton& Co. Publishers, Boston"
30137574958,ultimate publishing
30303392962,Tor Books
3205896145,"Signet Classics, New York"
30137499062,"berkley book,"
30137545936,fiction house
30613790640,"R. S. Peale & Co.,"
30743805448,Penguin Classics
22620324936,"Del Rey, New York"
30623449786,"Futura Publications, Great Britain"
30082118437,Houghton Mifflin School
30139051885,Arsenal Pulp Press
15187076054,"The Crime Club, Doubleday, New York"
22649162019,Ballantine
72217938,"Stanton & Lee Publishers, Sauk City, Wisconsin: 1969., Sauk City, Wisconsin:"
22851285250,"Wisconsin House, Madison"
5537434218,"A Premier Book/Published by Fawcett Publications, Inc., Greenwich, CN"
30650044176,Signet Classics
20538601532,"n.p. February 1934, Portland, OR"
30698084609,"Mercury Press, Inc."
30738907487,Random House Publishing Group 15
30714210676,Ace
30029726828,Ayer Co Pub
30626980066,International Collectors Library
30624126421,Barnes & Noble Classics
30265297647,
30734750885,Ballantine
5634516588,"Little, Brown & Co., Boston"
10990527575,Review of Reviews
30005418875,"Pellegrini & Cudahy [1947], Chicago"
30583410323,Ecco
1291114339,Philip Lee Warner
4666573473,"Selskabet Bogvennerne, [NP]"
30733118237,
22660349164,Pinnacle.
30163567950,P.F. Collier & Son
30662106251,Sphere
30137474197,Ballantine
30436898962,
30722962571,Dover
30239167897,Pinnacle Books
30335456922,"Dell Books # 8050, dated January 1973. 95 cents cover price."
30660759432,W. W. Norton & Company
30740018960,"Doherty Associates, LLC, Tom"
30210901893,Ayer Co Pub
30708994987,Back Bay Books
30664240926,Townsend Press
30699282992,Vintage
22381663271,Book Tree
8451604478,"Stanton & Lee Publishers, Sauk City WI"
12419968416,"University Books, New Hyde Park"
22596630447,xx
5467347098,"Dell Publishing, Inc, New York, NY, U.S.A."
21848684869,"Belmont, New York"
30255420066,Signet
30741152302,"W. Clement Stone, P M A Communications, Incorporated"
30323616542,
30662306246,Ballantine
19574871268,Ideals Childrens Books
13975773140,"Avenel Books, New York"
21839895179,Heritage
30398768741,"Dodd, Mead, New York"
5709075621,"Better Publications, NY"
30721282214,Penguin Classics
30697799943,Belmont Books
30738657319,Algonquin Books of Chapel Hill
30496214371,Dodd Mead
30718099993,Penguin Books
30080487732,Popular Library
30137480266,Ace
30419256332,Ace
30592234846,"grosset & dunlap, 1913."
2954452664,"Universitetsforlaget I Aarhus, Kobenhavn Aarhus"
30719433924,Anchor September 1959
30434770218,Macmillan
30137592729,better publications
21578257415,Ultimate Publishing Co
22899601986,Dover
30739859784,Random House Publishing Group
30694826649,Lancer Books [c.1968 but actuall
30718202130,The Heritage Press
30103571077,Random House Publishing Group
30584464273,Dell
30705401355,
30748664923,"Dodd, Mead & Company"
30577421289,Millbrook Press
30739479439,
30663607141,Pocket Books
30303788662,Hanro Corporation
30716886268,Nelson Doubleday
22812581449,END OF LINE CLEARANCE BOOK
1189031272,
30739189760,Oxford University Press
1308467866,Sold at The British Museum
30621263646,Quirk Books
30669019502,Bantam
30663651446,Bantam
22414932200,Pyramid
30266989674,
30667005728,Anchor
30665046726,Running Press
1308458766,ALBIN MICHEL
30210811471,Ayer Co Pub
30729075563,"Rider & Co. ND [ 1927 ], London"
30326194729,
30326985537,
30117074783,
30048438698,Dell
30599596234,Heritage Press c1967
14332901695,"New York: Fantasy House, Inc. 1st Edition"
30748468633,William Morrow Paperbacks
30588992322,Ballantine
30137481197,"berkley book,"
30732531530,Quirk Books
30333858914,Macmillan of Canada
22299303248,"Fiction Publishing Company, New York"
16611516310,J
30737329914,"Creative Media Partners, LLC 20"
30707495609,Warner Books
30733198758,
30697795338,Collier Books
30137474194,Ballantine
30606266938,Penguin Classics
30559377298,Avenal
30279254168,
30737561394,Pan Macmillan
30702694325,"Anchor, 1959 January 1959"
30705676271,Ann Arbor Editions LLC
21348881529,Belmont Books
22877828723,"Creative Age Press, New York"
30434580952,"Fictioneers, NY"
12606323899,"Berkley, New York"
30575377469,The Blackie Publishing Group
30425046635,
2992155501,"Dell Publishing Co., New York"
22520788031,"Pellegrini & Cudahy, Chicago, IL"
14913038423,Ace
30537995294,Ace
2826479,Holt Rinehart 1968 World Famous Horse Libary Selection
30301890227,J'ai lu
30647105673,
30686914541,"Marvel Comics, US"
30628547573,Franklin Classics
30625159988,Pinnacle
30310713855,Ballantine
30702935616,HarperCollins
30219171266,"Edinburgh and Simpkin, Marshall, & Co., London : Oliver & Boyd"
912915344,Ace
30080039525,Spring Books
30313195870,Wings Books/Random House
30665862953,Theosophical Pub House
30738493108,
30732941584,"W. Clement Stone, P M A Communications, Incorporated"
30590031362,"Grossett & Dunlap, New York, NY"
14781989509,"Ziff-Davis Publishing Company, Chicago / New York"
30699290334,Ace
30742721254,Dover
30258273083,Ace
10141179516,"Citadel Pr, Secaucus, New Jersey, U.S.A."
30436824880,"Manor Books, New York"
22594340305,Ballantine
30137470433,Ace
30575323379,Smithmark Pub
11800510178,Quest Books
30710660721,Modern Library
22610147009,"Avon Books, New York, NY, U.S.A."
30595939810,Dover
30430211662,
20543218067,"Signet, Canada"
30631467632,Independently Published
30726243328,Dover
30737525333,
119929444,"Four Square (New English Library), GB"
30665833368,"Mycroft & Moran, Sauk City, WI"
16930900445,Dell
