,book,language
942,22299303248,English
943,16611516310,English
944,30737329914,English
945,30707495609,English
946,30733198758,English
947,30697795338,English
948,30137474194,English
949,30606266938,English
950,30559377298,English
951,30279254168,English
952,30737561394,English
953,30702694325,English
954,30705676271,English
955,21348881529,English
956,22877828723,English
957,30434580952,English
958,12606323899,English
959,30575377469,English
960,30425046635,English
961,2992155501,English
962,22520788031,English
963,14913038423,English
964,30537995294,English
965,2826479,English
966,30301890227,English
967,30647105673,English
968,30686914541,English
969,30628547573,English
970,30625159988,English
971,30310713855,English
972,30702935616,English
973,30219171266,English
974,912915344,English
975,30080039525,English
976,30313195870,English
977,30665862953,English
978,30738493108,English
979,30732941584,English
980,30590031362,English
981,14781989509,English
982,30699290334,English
983,30742721254,English
984,30258273083,English
985,10141179516,English
986,30436824880,English
987,22594340305,English
988,30137470433,English
989,30575323379,English
990,11800510178,English
991,30710660721,English
992,22610147009,English
993,30595939810,English
994,30430211662,English
995,20543218067,English
996,30631467632,English
997,30726243328,English
998,30737525333,English
999,119929444,English
1000,30665833368,English
1001,16930900445,English
1002,30708949552,English
1003,30748023673,English
1004,30745957188,English
1005,30660923527,English
1006,22575766170,English
1007,1058066057,English
1008,30306579912,English
1009,30738347373,English
1010,30643297497,English
1011,1031685420,English
1012,30738248497,English
1013,30367514525,English
1014,918921099,English
1015,30538818571,English
1016,30657037242,English
1017,30737245358,English
1018,30082148548,English
1019,30699604781,English
1020,30706933760,English
1021,65853181,English
1022,1978280450,English
1023,30708708616,English
1024,30733344749,English
1025,275352520,English
1026,30692362401,English
1027,1046762509,English
1028,19593306436,English
1029,30718682962,English
1030,30556399073,English
1031,30523186646,English
1032,30734217513,English
1033,30012305301,English
1034,30743257139,English
1035,30746033606,English
1036,30137491647,English
1037,30266523672,English
1038,30191207695,English
1039,720184571,English
1040,30683695026,English
1041,30266563989,English
1042,22523931843,French
1043,30137461622,English
1044,30698067646,English
1045,30514017249,English
1046,30424441940,English
1047,30332224873,English
1048,30617865091,English
1049,30692770710,French
1050,837170227,English
1051,30630537430,English
1052,30603312370,German
1053,6929475639,English
1054,30738824911,English
1055,30313259468,English
1056,30621579656,English
1057,18273784288,English
1058,30422007325,English
1059,1971730398,English
1060,30698782892,English
1061,30259412450,English
1062,30733069823,English
