,0
book,JacketCondition
30667607147,NULL
30307557178,NULL
30192608811,NULL
22905394026,NULL
30603293062,NULL
30669016042,NULL
30580810206,NULL
30617393816,NULL
30297674658,NULL
30242891976,NULL
30697839467,NULL
30227492132,NULL
822212931,NULL
6091512873,NULL
30665810940,NULL
30719433924,NULL
30704186718,NULL
30699613723,NULL
30577418637,NULL
30621264483,NULL
30623260996,NULL
30736969876,NULL
30598411116,NULL
30228913112,NULL
30261630007,NULL
30434758180,NULL
30035376941,NULL
30601064198,NULL
30697821389,NULL
30702694325,NULL
30628688820,NULL
30611199162,NULL
30628663840,NULL
30611201867,NULL
30627633543,NULL
30628749058,NULL
30627260543,NULL
30629543256,NULL
30628763283,NULL
30705676271,NULL
30587581680,NULL
21375198345,NULL
1165631406,NULL
5809421567,NULL
30422376277,NULL
30588932537,NULL
30508896190,NULL
30720535831,NULL
30720509814,NULL
30575239490,NULL
22271875372,NULL
19692518165,NULL
30256679821,NULL
30232527863,NULL
21556657971,NULL
30384720522,NULL
30711591479,NULL
30347698425,NULL
30699887748,NULL
30491727453,NULL
30312795298,NULL
30693189281,NULL
30697486924,NULL
30699410723,NULL
30475795560,NULL
18666343618,NULL
18666343630,NULL
30694876057,NULL
13143754361,NULL
30699552644,NULL
30688490647,NULL
30717023034,NULL
30593072412,NULL
30388391605,NULL
30305442772,NULL
30613044113,NULL
30429772122,NULL
30137492539,NULL
30137491647,NULL
30137494432,NULL
30137495360,NULL
30137495366,NULL
30137493504,NULL
30014240939,good
30137491659,NULL
19276952052,NULL
30456166586,very good
15226185250,NULL
19276952040,NULL
30240240644,good
30537227370,very good
22665165891,NULL
30553262148,NULL
30537598617,NULL
30282196475,very good
21115065563,NULL
6671606916,new
30583466085,new
22787750604,good
30560953377,NULL
30314274482,NULL
8839959715,very good
14883183609,NULL
14883183389,NULL
14883183612,NULL
5635577810,NULL
17720022583,good
14883183390,NULL
30664555996,NULL
30420372960,NULL
850832649,NULL
30600154940,very good
14883183613,NULL
14883183388,NULL
14883183611,NULL
14883183391,NULL
30420365524,NULL
10374155,NULL
88289157,good
18830780879,good
17841460782,NULL
30053817990,NULL
30381126611,NULL
21512537056,good
14774647323,good
30622851552,NULL
30622853167,NULL
30350476374,good
3054593465,new
80381323,new
19346640349,NULL
19346640350,NULL
14964592420,NULL
14964592417,NULL
14964592416,NULL
14964592419,NULL
381789268,NULL
381789258,NULL
381789254,NULL
381789266,NULL
381789264,NULL
381789256,NULL
381789252,NULL
1309179668,NULL
9309448195,NULL
30137499055,NULL
30749409086,NULL
30637087791,NULL
16519215375,NULL
15683045531,NULL
30139051885,NULL
30470510220,NULL
30699150987,NULL
30615171939,NULL
30162467109,NULL
30563797575,NULL
30139087526,NULL
30751493280,NULL
30457626401,NULL
30134116792,NULL
9126714053,very good
1102094449,NULL
30743861864,NULL
30688729341,NULL
30470219023,NULL
30551617347,NULL
30699438056,NULL
30720937001,NULL
30621652493,NULL
30559377298,NULL
30362659750,NULL
30715507549,NULL
30742192012,NULL
30037267223,NULL
30433398353,NULL
30153697183,NULL
30451611189,NULL
30045188971,NULL
30707750402,NULL
30734504649,NULL
30436285752,good
132528312,very good
21553367643,NULL
22760802103,NULL
30359724321,good
30696792698,NULL
30446931569,NULL
30619680148,NULL
30453521112,NULL
71652978,good
30446655490,NULL
30697853918,NULL
30408501711,NULL
30699301827,NULL
30697452011,NULL
30475812657,NULL
30715443473,NULL
30352810120,NULL
30415626040,good
13975773140,very good
546832945,very good
549661597,very good
13474878595,NULL
897560422,NULL
73525339,good
12032400284,new
1190707329,very good
1231828374,very good
30465560756,NULL
30699868421,NULL
14123108877,NULL
30109403164,NULL
30082670605,NULL
30394755228,NULL
30603036142,NULL
22522374020,NULL
22540594567,NULL
22908459522,NULL
30698890862,NULL
9395166485,NULL
6763389530,NULL
30637050896,NULL
30650762517,NULL
30137469448,NULL
30137467649,NULL
1288786367,NULL
22890297791,NULL
30553673902,NULL
30428563467,NULL
30697353196,NULL
30698928414,NULL
30433036085,NULL
30472450701,NULL
30728388989,NULL
30714887809,NULL
30514117131,NULL
30259627369,NULL
30632421272,NULL
30719888693,NULL
21664689770,NULL
30419073024,NULL
22610147009,NULL
22543314164,NULL
22543314165,NULL
30744579236,NULL
11043698610,NULL
30137460426,NULL
30306098271,NULL
30618063860,NULL
22618049226,NULL
8061064809,NULL
30457471140,NULL
30172302772,NULL
30558079269,NULL
17371941549,NULL
30223640558,NULL
30128802723,NULL
30029726828,NULL
30210901893,NULL
30210811471,NULL
30388101556,NULL
30210816761,NULL
30372470317,NULL
30651282298,NULL
30738906620,NULL
30740199431,NULL
30737910957,NULL
30694773632,NULL
30502071527,NULL
30262009062,NULL
30537882309,NULL
30451867865,NULL
30487942690,NULL
30729683991,NULL
30708994987,NULL
30748223212,NULL
30594560684,NULL
30667605177,NULL
30599717073,NULL
30749468580,NULL
30282131848,NULL
12799998270,NULL
30599771350,NULL
30447168527,NULL
30667605975,NULL
30735303473,NULL
30364305215,NULL
30195956978,NULL
30493667047,NULL
30712343029,NULL
9010064787,NULL
30697319843,NULL
30731157390,NULL
30517631526,NULL
30741668598,NULL
30728306277,NULL
30697321813,NULL
30600447830,NULL
30716488571,NULL
30188407303,NULL
30664104772,NULL
30138201394,NULL
30568022617,NULL
30748319081,NULL
30605319937,NULL
22903783851,NULL
22871584277,NULL
30543903597,NULL
30346660092,NULL
30698760506,NULL
30667877562,NULL
30704869019,NULL
30749476538,NULL
30698762541,NULL
30109627052,NULL
30139074692,NULL
30456055488,NULL
30657511135,NULL
30750041803,NULL
30667596044,NULL
30734765931,NULL
30667604905,NULL
30735580822,NULL
30667595891,NULL
30698765219,NULL
30719621561,NULL
30099494972,NULL
30698084532,NULL
30712828551,NULL
17490790226,NULL
30667085532,NULL
30548679382,NULL
30670316172,NULL
30506714314,NULL
30623261225,NULL
30586697697,NULL
30652056860,NULL
30605799988,NULL
12613821190,NULL
30028993415,NULL
30137539540,NULL
30686147550,NULL
30595966061,NULL
30230577991,NULL
30110201905,NULL
941021824,NULL
30604711648,NULL
30714634532,NULL
18914649994,NULL
30137473213,NULL
30734750885,NULL
30137474197,NULL
30588992322,NULL
30137474194,NULL
19972923403,NULL
30132927534,NULL
30301439914,NULL
30137544965,NULL
19650898911,NULL
30209629952,NULL
30535979472,NULL
30084967398,NULL
22920926346,NULL
20281396970,NULL
30605121106,NULL
30652642578,NULL
10300781348,NULL
30607491792,NULL
30650026423,NULL
616044899,NULL
865303154,NULL
30137476041,NULL
30604596121,NULL
14461313830,NULL
22920926345,NULL
30164618603,NULL
905247349,NULL
22829833476,NULL
30602255627,NULL
30607502567,NULL
164668252,NULL
30700014200,NULL
693433208,NULL
30575422236,NULL
535558563,NULL
14461310230,NULL
30671262975,NULL
30605085409,NULL
1175966145,NULL
30699618857,NULL
30209627048,NULL
30606959668,NULL
10824574563,NULL
30582624689,NULL
30566301131,NULL
997539071,NULL
30351970942,NULL
22516028825,NULL
30603690992,NULL
30607498667,NULL
30137468886,NULL
30669037937,NULL
58083459,NULL
628538837,NULL
30612325358,NULL
30577456446,NULL
30548689106,NULL
12917532164,NULL
30747652948,NULL
12917532165,NULL
14461325310,NULL
30697830029,NULL
30597690445,NULL
259427130,NULL
30149748215,NULL
22849166916,NULL
30574222692,NULL
30604897613,NULL
30105296320,NULL
30604964020,NULL
30596133408,NULL
30667261121,NULL
1293154510,NULL
30137484016,NULL
22619234837,NULL
30699259702,NULL
248222574,NULL
30030344306,NULL
663419831,NULL
30415743152,NULL
5939306856,NULL
30686148460,NULL
30686151549,NULL
30137474198,NULL
30604783277,NULL
30601282771,NULL
18115185057,NULL
30743701835,NULL
30606221918,NULL
1197931021,NULL
585714459,NULL
30644956563,NULL
108755552,NULL
12115149051,NULL
